epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,18.3486,1.08182,0.78515,0.99638,0.59338,0.0033253,0.0033253,0.0700723
2,33.3611,0.74955,0.82559,0.99879,0.48337,0.00652679,0.00652679,0.0399404
3,47.4641,0.76606,0.76826,0.99578,0.74568,0.00959629,0.00959629,0.00967661
4,61.0485,0.83808,0.76584,0.99759,0.70611,0.009406,0.009406,0.009406
5,74.5282,0.7715,0.82197,0.99396,0.53987,0.009208,0.009208,0.009208
6,88.15,0.69857,0.77067,0.99517,0.68172,0.00901,0.00901,0.00901
7,99.8579,0.64239,0.83705,0.99578,0.4792,0.008812,0.008812,0.008812
8,109.464,0.6002,0.8455,0.9994,0.43718,0.008614,0.008614,0.008614
9,119.023,0.53803,0.86361,0.9994,0.41301,0.008416,0.008416,0.008416
10,128.646,0.4839,0.88051,0.9994,0.37642,0.008218,0.008218,0.008218
11,138.318,0.46792,0.87085,0.9994,0.40242,0.00802,0.00802,0.00802
12,147.886,0.43491,0.88352,0.99698,0.37388,0.007822,0.007822,0.007822
13,157.481,0.418,0.86964,1,0.39927,0.007624,0.007624,0.007624
14,167.118,0.40666,0.85576,0.99879,0.44409,0.007426,0.007426,0.007426
15,176.677,0.3851,0.87326,0.99759,0.41596,0.007228,0.007228,0.007228
16,186.25,0.3786,0.89137,1,0.35934,0.00703,0.00703,0.00703
17,195.724,0.34674,0.89197,0.99759,0.36827,0.006832,0.006832,0.006832
18,205.281,0.32403,0.89559,1,0.36652,0.006634,0.006634,0.006634
19,214.83,0.32551,0.87749,0.99819,0.41613,0.006436,0.006436,0.006436
20,224.366,0.30531,0.90525,0.99879,0.34087,0.006238,0.006238,0.006238
21,233.931,0.27813,0.91068,0.9994,0.3218,0.00604,0.00604,0.00604
22,243.529,0.25921,0.90344,0.99819,0.32534,0.005842,0.005842,0.005842
23,253.063,0.28141,0.90887,0.9994,0.31398,0.005644,0.005644,0.005644
24,262.627,0.263,0.90585,0.9994,0.33352,0.005446,0.005446,0.005446
25,272.175,0.23687,0.88111,1,0.42054,0.005248,0.005248,0.005248
26,281.74,0.23384,0.90585,0.9994,0.34969,0.00505,0.00505,0.00505
27,294.822,0.22851,0.90344,0.99819,0.33037,0.004852,0.004852,0.004852
28,307.45,0.22289,0.90706,0.9994,0.33972,0.004654,0.004654,0.004654
29,320.401,0.20037,0.9137,1,0.32175,0.004456,0.004456,0.004456
30,332.714,0.20457,0.91249,1,0.32421,0.004258,0.004258,0.004258
31,346.545,0.19947,0.91732,0.9994,0.31614,0.00406,0.00406,0.00406
32,360.813,0.18292,0.91732,1,0.32186,0.003862,0.003862,0.003862
33,375.765,0.1756,0.91732,1,0.3333,0.003664,0.003664,0.003664
34,390.262,0.15162,0.92275,0.9994,0.31512,0.003466,0.003466,0.003466
35,404.036,0.14968,0.91732,0.99879,0.33327,0.003268,0.003268,0.003268
36,416.931,0.14542,0.92577,0.9994,0.30627,0.00307,0.00307,0.00307
37,427.553,0.14126,0.92215,1,0.32238,0.002872,0.002872,0.002872
38,437.452,0.12441,0.92275,1,0.33683,0.002674,0.002674,0.002674
39,447.898,0.13866,0.91913,0.99879,0.33987,0.002476,0.002476,0.002476
40,457.619,0.1242,0.91792,1,0.32318,0.002278,0.002278,0.002278
41,472.633,0.11972,0.91973,0.99879,0.34418,0.00208,0.00208,0.00208
42,482.412,0.11375,0.91913,0.99819,0.33913,0.001882,0.001882,0.001882
43,492.225,0.10574,0.91913,0.99879,0.34796,0.001684,0.001684,0.001684
44,503.13,0.10249,0.92275,0.99879,0.35299,0.001486,0.001486,0.001486
45,512.823,0.10188,0.92336,0.9994,0.34483,0.001288,0.001288,0.001288
46,522.453,0.10666,0.92517,0.9994,0.327,0.00109,0.00109,0.00109
47,532.046,0.09339,0.92336,1,0.32673,0.000892,0.000892,0.000892
48,541.68,0.08479,0.92577,0.9994,0.32528,0.000694,0.000694,0.000694
49,551.28,0.08496,0.92577,0.9994,0.32126,0.000496,0.000496,0.000496
50,561.01,0.07588,0.92577,0.9994,0.31938,0.000298,0.000298,0.000298
